regime_encoded,volatility_encoded,conviction_score,impulse,follow_through,confidence,style_encoded,setup_encoded,session_encoded,setup_raw_avg_R,regime_raw_avg_R,ml_probability,predicted_won,won
2,3,4,0.7549746390948548,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.7549746390948548,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,2,0.8783415166394037,0.5,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.901580459770174,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.894660894660809,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,2,0.986741458439503,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.6749271137025853,1.0,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.9559175850502537,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.9219190968955525,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.9219190968955525,0.75,0.5,2,2,2,0,0,0.5,1,0
2,3,2,1.4624697336561752,0.5,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.0107197549769376,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,1.4010105649977358,0.75,0.5,2,2,2,0,0,0.5,1,0
2,3,4,0.8874458874459598,1.0,0.5,3,1,2,0,0,0.5,1,0
2,3,4,0.9943846513804343,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.8791725434885566,0.75,0.5,2,2,2,0,0,0.5,1,0
2,3,4,0.9911429776465228,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.2505523641184388,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.0115473441108336,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,2,1.1577490774907553,0.5,0.5,2,3,2,0,0,0.5,1,0
2,3,4,1.4010105649977358,0.75,0.5,2,2,2,0,0,0.5,1,0
3,3,4,1.042889390519242,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,2,1.5275142314990484,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,2,0.8052833404345985,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.49857549857552297,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.7794943820224302,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.8577517314863828,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,1.086075949367117,0.75,0.5,2,1,2,0,0,0.5,1,1
2,3,2,1.1470773098680958,0.5,0.5,1,1,2,0,0,0.5,1,0
